Block,Row,Col,X,Y,Label
T0,0,0,3.5,14.0,T0-1
T0,1,0,3.5,24.0,T0-2
T0,2,0,3.5,34.0,T0-3
T0,3,0,3.5,44.0,T0-4
T0,4,0,3.5,54.0,T0-5
T0,5,0,3.5,64.0,T0-6
T0,6,0,3.5,74.0,T0-7
T0,7,0,3.5,84.0,T0-8
T0,8,0,3.5,94.0,T0-9
T0,9,0,3.5,104.0,T0-10
T0,10,0,3.5,114.0,T0-11
T0,11,0,3.5,124.0,T0-12
T0,12,0,3.5,134.0,T0-13
T0,13,0,3.5,144.0,T0-14
T0,14,0,3.5,154.0,T0-15
T0,15,0,3.5,164.0,T0-16
T0,16,0,3.5,174.0,T0-17
T0,17,0,3.5,184.0,T0-18
T0,18,0,3.5,194.0,T0-19
T0,19,0,3.5,204.0,T0-20
T0,20,0,3.5,214.0,T0-21
T0,21,0,3.5,224.0,T0-22
T0,22,0,3.5,234.0,T0-23
T0,23,0,3.5,244.0,T0-24
B1,0,0,12.92,14.0,AG34XF6
B1,0,1,19.76,14.0,LG3216
B1,0,2,26.59,14.0,AG35XF5
B1,0,3,33.43,14.0,LG3216
B1,0,4,40.27,14.0,AG36XF4
B1,1,0,12.92,24.0,LG3216
B1,1,1,19.76,24.0,AG29XF5
B1,1,2,26.59,24.0,LG3216
B1,1,3,33.43,24.0,AG29XF4
B1,1,4,40.27,24.0,LG3216
B1,2,0,12.92,34.0,AG40XFF5
B1,2,1,19.76,34.0,LG3216
B1,2,2,26.59,34.0,AG38XF6
B1,2,3,33.43,34.0,LG3216
B1,2,4,40.27,34.0,AG36XF4
B1,3,0,12.92,44.0,LG3216
B1,3,1,19.76,44.0,AG38XF6
B1,3,2,26.59,44.0,LG3216
B1,3,3,33.43,44.0,AG29XF5
B1,3,4,40.27,44.0,LG3216
B1,4,0,12.92,54.0,AG29XF4
B1,4,1,19.76,54.0,LG3216
B1,4,2,26.59,54.0,AG34XF6
B1,4,3,33.43,54.0,LG3216
B1,4,4,40.27,54.0,AG40XFF5
B1,5,0,12.92,64.0,LG3216
B1,5,1,19.76,64.0,AG35XF5
B1,5,2,26.59,64.0,LG3216
B1,5,3,33.43,64.0,AG36XF4
B1,5,4,40.27,64.0,LG3216
B1,6,0,12.92,74.0,AG35XF5
B1,6,1,19.76,74.0,LG3216
B1,6,2,26.59,74.0,AG34XF6
B1,6,3,33.43,74.0,LG3216
B1,6,4,40.27,74.0,AG29XF5
B1,7,0,12.92,84.0,LG3216
B1,7,1,19.76,84.0,AG40XFF5
B1,7,2,26.59,84.0,LG3216
B1,7,3,33.43,84.0,AG38XF6
B1,7,4,40.27,84.0,LG3216
B2,0,0,48.36,14.0,LD20-4542
B2,0,1,55.19,14.0,AG29XF5
B2,0,2,62.03,14.0,LD11-2170
B2,0,3,68.87,14.0,AG29XF4
B2,0,4,75.71,14.0,LD20-4471
B2,1,0,48.36,24.0,AG29XF4
B2,1,1,55.19,24.0,LD20-5413
B2,1,2,62.03,24.0,AG29XF5
B2,1,3,68.87,24.0,LD22-4283
B2,1,4,75.71,24.0,AG29XF5
B2,2,0,48.36,34.0,LD20-5738
B2,2,1,55.19,34.0,AG29XF4
B2,2,2,62.03,34.0,LD21-5253
B2,2,3,68.87,34.0,AG29XF4
B2,2,4,75.71,34.0,LD20-4988
B2,3,0,48.36,44.0,AG29XF5
B2,3,1,55.19,44.0,LD21-7234
B2,3,2,62.03,44.0,AG29XF4
B2,3,3,68.87,44.0,LD20-4471
B2,3,4,75.71,44.0,AG29XF5
B2,4,0,48.36,54.0,LD11-2170
B2,4,1,55.19,54.0,AG29XF5
B2,4,2,62.03,54.0,LD20-5738
B2,4,3,68.87,54.0,AG29XF4
B2,4,4,75.71,54.0,LD20-4542
B2,5,0,48.36,64.0,AG29XF4
B2,5,1,55.19,64.0,LD20-4988
B2,5,2,62.03,64.0,AG29XF5
B2,5,3,68.87,64.0,LD22-4283
B2,5,4,75.71,64.0,AG29XF4
B2,6,0,48.36,74.0,LD20-5413
B2,6,1,55.19,74.0,AG29XF5
B2,6,2,62.03,74.0,LD21-5253
B2,6,3,68.87,74.0,AG29XF5
B2,6,4,75.71,74.0,LD21-7234
B2,7,0,48.36,84.0,AG29XF4
B2,7,1,55.19,84.0,LD20-5738
B2,7,2,62.03,84.0,AG29XF5
B2,7,3,68.87,84.0,LD20-4471
B2,7,4,75.71,84.0,AG29XF4
B3,0,0,83.79,14.0,LD21-5944
B3,0,1,90.63,14.0,LG3216
B3,0,2,97.47,14.0,LD11-2170
B3,0,3,104.31,14.0,LG3216
B3,0,4,111.14,14.0,LD20-11748
B3,1,0,83.79,24.0,LG3216
B3,1,1,90.63,24.0,LD22-4283
B3,1,2,97.47,24.0,LG3216
B3,1,3,104.31,24.0,LD17-10473F
B3,1,4,111.14,24.0,LG3216
B3,2,0,83.79,34.0,LD20-4542
B3,2,1,90.63,34.0,LG3216
B3,2,2,97.47,34.0,LD21-3090
B3,2,3,104.31,34.0,LG3216
B3,2,4,111.14,34.0,LD00-2817P
B3,3,0,83.79,44.0,LG3216
B3,3,1,90.63,44.0,LD21-5253
B3,3,2,97.47,44.0,LG3216
B3,3,3,104.31,44.0,LD07-3395bf
B3,3,4,111.14,44.0,LG3216
B3,4,0,83.79,54.0,LD20-5738
B3,4,1,90.63,54.0,LG3216
B3,4,2,97.47,54.0,LD20-4471
B3,4,3,104.31,54.0,LG3216
B3,4,4,111.14,54.0,LD20-4988
B3,5,0,83.79,64.0,LG3216
B3,5,1,90.63,64.0,LD21-7234
B3,5,2,97.47,64.0,LG3216
B3,5,3,104.31,64.0,LD21-5665
B3,5,4,111.14,64.0,LG3216
B3,6,0,83.79,74.0,LD19-10244
B3,6,1,90.63,74.0,LG3216
B3,6,2,97.47,74.0,LD19-10076
B3,6,3,104.31,74.0,LG3216
B3,6,4,111.14,74.0,LD21-5991
B3,7,0,83.79,84.0,LG3216
B3,7,1,90.63,84.0,LD17-10473L
B3,7,2,97.47,84.0,LG3216
B3,7,3,104.31,84.0,LD20-5413
B3,7,4,111.14,84.0,LG3216
B4,0,0,119.23,14.0,AG34XF6
B4,0,1,126.07,14.0,LD17-10473F
B4,0,2,132.91,14.0,AG35XF5
B4,0,3,139.74,14.0,LD21-3090
B4,0,4,146.58,14.0,AG40XFF5
B4,1,0,119.23,24.0,LD21-7234
B4,1,1,126.07,24.0,AG36XF4
B4,1,2,132.91,24.0,LD21-5665
B4,1,3,139.74,24.0,AG38XF6
B4,1,4,146.58,24.0,LD21-5253
B4,2,0,119.23,34.0,AG34XF6
B4,2,1,126.07,34.0,LD07-3395bf
B4,2,2,132.91,34.0,AG38XF6
B4,2,3,139.74,34.0,LD20-11748
B4,2,4,146.58,34.0,AG35XF5
B4,3,0,119.23,44.0,LD21-5944
B4,3,1,126.07,44.0,AG36XF4
B4,3,2,132.91,44.0,LD17-10473F
B4,3,3,139.74,44.0,AG40XFF5
B4,3,4,146.58,44.0,LD21-5944
B4,4,0,119.23,54.0,AG40XFF5
B4,4,1,126.07,54.0,LD21-5665
B4,4,2,132.91,54.0,AG36XF4
B4,4,3,139.74,54.0,LD21-7234
B4,4,4,146.58,54.0,AG35XF5
B4,5,0,119.23,64.0,LD21-3090
B4,5,1,126.07,64.0,AG34XF6
B4,5,2,132.91,64.0,LD07-3395bf
B4,5,3,139.74,64.0,AG38XF6
B4,5,4,146.58,64.0,LD20-11748
B4,6,0,119.23,74.0,AG38XF6
B4,6,1,126.07,74.0,LD21-5253
B4,6,2,132.91,74.0,AG34XF6
B4,6,3,139.74,74.0,LD21-5253
B4,6,4,146.58,74.0,AG40XFF5
B4,7,0,119.23,84.0,LD20-11748
B4,7,1,126.07,84.0,AG35XF5
B4,7,2,132.91,84.0,LD21-7234
B4,7,3,139.74,84.0,AG36XF4
B4,7,4,146.58,84.0,LD21-3090
B5,0,0,12.92,94.0,AG36XF4
B5,0,1,19.76,94.0,LD21-5665
B5,0,2,26.59,94.0,AG38XF6
B5,0,3,33.43,94.0,LD07-3395bf
B5,0,4,40.27,94.0,AG35XF5
B5,1,0,12.92,104.0,LD21-7234
B5,1,1,19.76,104.0,AG34XF6
B5,1,2,26.59,104.0,LD20-11748
B5,1,3,33.43,104.0,AG40XFF5
B5,1,4,40.27,104.0,LD21-5253
B5,2,0,12.92,114.0,AG35XF5
B5,2,1,19.76,114.0,LD21-5944
B5,2,2,26.59,114.0,AG36XF4
B5,2,3,33.43,114.0,LD21-3090
B5,2,4,40.27,114.0,AG38XF6
B5,3,0,12.92,124.0,LD17-10473F
B5,3,1,19.76,124.0,AG40XFF5
B5,3,2,26.59,124.0,LD21-5665
B5,3,3,33.43,124.0,AG34XF6
B5,3,4,40.27,124.0,LD21-5253
B5,4,0,12.92,134.0,AG35XF5
B5,4,1,19.76,134.0,LD20-11748
B5,4,2,26.59,134.0,AG36XF4
B5,4,3,33.43,134.0,LD07-3395bf
B5,4,4,40.27,134.0,AG40XFF5
B5,5,0,12.92,144.0,LD21-5944
B5,5,1,19.76,144.0,AG38XF6
B5,5,2,26.59,144.0,LD17-10473F
B5,5,3,33.43,144.0,AG34XF6
B5,5,4,40.27,144.0,LD21-3090
B5,6,0,12.92,154.0,AG34XF6
B5,6,1,19.76,154.0,LD21-7234
B5,6,2,26.59,154.0,AG36XF4
B5,6,3,33.43,154.0,LD21-3090
B5,6,4,40.27,154.0,AG35XF5
B5,7,0,12.92,164.0,LD17-10473F
B5,7,1,19.76,164.0,AG40XFF5
B5,7,2,26.59,164.0,LD21-7234
B5,7,3,33.43,164.0,AG38XF6
B5,7,4,40.27,164.0,LD21-5665
B6,0,0,48.36,94.0,AG36XF4
B6,0,1,55.19,94.0,LG3216
B6,0,2,62.03,94.0,AG29XF4
B6,0,3,68.87,94.0,LG3216
B6,0,4,75.71,94.0,AG40XFF5
B6,1,0,48.36,104.0,LG3216
B6,1,1,55.19,104.0,AG38XF6
B6,1,2,62.03,104.0,LG3216
B6,1,3,68.87,104.0,AG29XF5
B6,1,4,75.71,104.0,LG3216
B6,2,0,48.36,114.0,AG34XF6
B6,2,1,55.19,114.0,LG3216
B6,2,2,62.03,114.0,AG35XF5
B6,2,3,68.87,114.0,LG3216
B6,2,4,75.71,114.0,AG40XFF5
B6,3,0,48.36,124.0,LG3216
B6,3,1,55.19,124.0,AG35XF5
B6,3,2,62.03,124.0,LG3216
B6,3,3,68.87,124.0,AG36XF4
B6,3,4,75.71,124.0,LG3216
B6,4,0,48.36,134.0,AG29XF4
B6,4,1,55.19,134.0,LG3216
B6,4,2,62.03,134.0,AG29XF5
B6,4,3,68.87,134.0,LG3216
B6,4,4,75.71,134.0,AG38XF6
B6,5,0,48.36,144.0,LG3216
B6,5,1,55.19,144.0,AG34XF6
B6,5,2,62.03,144.0,LG3216
B6,5,3,68.87,144.0,AG29XF5
B6,5,4,75.71,144.0,LG3216
B6,6,0,48.36,154.0,AG35XF5
B6,6,1,55.19,154.0,LG3216
B6,6,2,62.03,154.0,AG36XF4
B6,6,3,68.87,154.0,LG3216
B6,6,4,75.71,154.0,AG34XF6
B6,7,0,48.36,164.0,LG3216
B6,7,1,55.19,164.0,AG38XF6
B6,7,2,62.03,164.0,LG3216
B6,7,3,68.87,164.0,AG40XFF5
B6,7,4,75.71,164.0,LG3216
B7,0,0,83.79,94.0,LD20-4471
B7,0,1,90.63,94.0,AG29XF5
B7,0,2,97.47,94.0,LD20-4542
B7,0,3,104.31,94.0,AG29XF4
B7,0,4,111.14,94.0,LD20-5413
B7,1,0,83.79,104.0,AG29XF4
B7,1,1,90.63,104.0,LD21-7234
B7,1,2,97.47,104.0,AG29XF5
B7,1,3,104.31,104.0,LD20-5738
B7,1,4,111.14,104.0,AG29XF5
B7,2,0,83.79,114.0,LD22-4283
B7,2,1,90.63,114.0,AG29XF4
B7,2,2,97.47,114.0,LD11-2170
B7,2,3,104.31,114.0,AG29XF4
B7,2,4,111.14,114.0,LD21-5253
B7,3,0,83.79,124.0,AG29XF5
B7,3,1,90.63,124.0,LD20-4988
B7,3,2,97.47,124.0,AG29XF4
B7,3,3,104.31,124.0,LD22-4283
B7,3,4,111.14,124.0,AG29XF5
B7,4,0,83.79,134.0,LD20-4542
B7,4,1,90.63,134.0,AG29XF4
B7,4,2,97.47,134.0,LD11-2170
B7,4,3,104.31,134.0,AG29XF5
B7,4,4,111.14,134.0,LD20-5413
B7,5,0,83.79,144.0,AG29XF5
B7,5,1,90.63,144.0,LD20-4988
B7,5,2,97.47,144.0,AG29XF4
B7,5,3,104.31,144.0,LD21-5253
B7,5,4,111.14,144.0,AG29XF5
B7,6,0,83.79,154.0,LD20-5738
B7,6,1,90.63,154.0,AG29XF4
B7,6,2,97.47,154.0,LD20-4471
B7,6,3,104.31,154.0,AG29XF5
B7,6,4,111.14,154.0,LD21-7234
B7,7,0,83.79,164.0,AG29XF4
B7,7,1,90.63,164.0,LD11-2170
B7,7,2,97.47,164.0,AG29XF5
B7,7,3,104.31,164.0,LD20-5413
B7,7,4,111.14,164.0,AG29XF4
B8,0,0,119.23,94.0,LD17-10473L
B8,0,1,126.07,94.0,LG3216
B8,0,2,132.91,94.0,LD20-4988
B8,0,3,139.74,94.0,LG3216
B8,0,4,146.58,94.0,LD20-5738
B8,1,0,119.23,104.0,LG3216
B8,1,1,126.07,104.0,LD19-10076
B8,1,2,132.91,104.0,LG3216
B8,1,3,139.74,104.0,LD20-11748
B8,1,4,146.58,104.0,LG3216
B8,2,0,119.23,114.0,LD21-5991
B8,2,1,126.07,114.0,LG3216
B8,2,2,132.91,114.0,LD21-5253
B8,2,3,139.74,114.0,LG3216
B8,2,4,146.58,114.0,LD17-10473F
B8,3,0,119.23,124.0,LG3216
B8,3,1,126.07,124.0,LD21-3090
B8,3,2,132.91,124.0,LG3216
B8,3,3,139.74,124.0,LD21-5665
B8,3,4,146.58,124.0,LG3216
B8,4,0,119.23,134.0,LD20-4471
B8,4,1,126.07,134.0,LG3216
B8,4,2,132.91,134.0,LD20-4542
B8,4,3,139.74,134.0,LG3216
B8,4,4,146.58,134.0,LD21-5944
B8,5,0,119.23,144.0,LG3216
B8,5,1,126.07,144.0,LD20-5413
B8,5,2,132.91,144.0,LG3216
B8,5,3,139.74,144.0,LD11-2170
B8,5,4,146.58,144.0,LG3216
B8,6,0,119.23,154.0,LD22-4283
B8,6,1,126.07,154.0,LG3216
B8,6,2,132.91,154.0,LD21-7234
B8,6,3,139.74,154.0,LG3216
B8,6,4,146.58,154.0,LD19-10244
B8,7,0,119.23,164.0,LG3216
B8,7,1,126.07,164.0,LD07-3395bf
B8,7,2,132.91,164.0,LG3216
B8,7,3,139.74,164.0,LD00-2817P
B8,7,4,146.58,164.0,LG3216
B9,0,0,12.92,174.0,LD20-11748
B9,0,1,19.76,174.0,LG3216
B9,0,2,26.59,174.0,LD20-4542
B9,0,3,33.43,174.0,LG3216
B9,0,4,40.27,174.0,LD21-3090
B9,1,0,12.92,184.0,LG3216
B9,1,1,19.76,184.0,LD20-5413
