Block,Row,Col,X,Y,Label
B1,0,0,13.28,15.08,
B1,0,1,19.82,15.08,
B1,0,2,26.38,15.08,
B1,0,3,32.92,15.08,
B1,0,4,39.48,15.08,
B1,1,0,13.28,25.25,
B1,1,1,19.82,25.25,
B1,1,2,26.38,25.25,
B1,1,3,32.92,25.25,
B1,1,4,39.48,25.25,
B1,2,0,13.28,35.42,
B1,2,1,19.82,35.42,
B1,2,2,26.38,35.42,
B1,2,3,32.92,35.42,
B1,2,4,39.48,35.42,
B1,3,0,13.28,45.58,
B1,3,1,19.82,45.58,
B1,3,2,26.38,45.58,
B1,3,3,32.92,45.58,
B1,3,4,39.48,45.58,
B1,4,0,13.28,55.75,
B1,4,1,19.82,55.75,
B1,4,2,26.38,55.75,
B1,4,3,32.92,55.75,
B1,4,4,39.48,55.75,
B1,5,0,13.28,65.92,
B1,5,1,19.82,65.92,
B1,5,2,26.38,65.92,
B1,5,3,32.92,65.92,
B1,5,4,39.48,65.92,
B1,6,0,13.28,76.08,
B1,6,1,19.82,76.08,
B1,6,2,26.38,76.08,
B1,6,3,32.92,76.08,
B1,6,4,39.48,76.08,
B1,7,0,13.28,86.25,
B1,7,1,19.82,86.25,
B1,7,2,26.38,86.25,
B1,7,3,32.92,86.25,
B1,7,4,39.48,86.25,
B2,0,0,49.02,15.08,
B2,0,1,55.57,15.08,
B2,0,2,62.12,15.08,
B2,0,3,68.68,15.08,
B2,0,4,75.23,15.08,
B2,1,0,49.02,25.25,
B2,1,1,55.57,25.25,
B2,1,2,62.12,25.25,
B2,1,3,68.68,25.25,
B2,1,4,75.23,25.25,
B2,2,0,49.02,35.42,
B2,2,1,55.57,35.42,
B2,2,2,62.12,35.42,
B2,2,3,68.68,35.42,
B2,2,4,75.23,35.42,
B2,3,0,49.02,45.58,
B2,3,1,55.57,45.58,
B2,3,2,62.12,45.58,
B2,3,3,68.68,45.58,
B2,3,4,75.23,45.58,
B2,4,0,49.02,55.75,
B2,4,1,55.57,55.75,
B2,4,2,62.12,55.75,
B2,4,3,68.68,55.75,
B2,4,4,75.23,55.75,
B2,5,0,49.02,65.92,
B2,5,1,55.57,65.92,
B2,5,2,62.12,65.92,
B2,5,3,68.68,65.92,
B2,5,4,75.23,65.92,
B2,6,0,49.02,76.08,
B2,6,1,55.57,76.08,
B2,6,2,62.12,76.08,
B2,6,3,68.68,76.08,
B2,6,4,75.23,76.08,
B2,7,0,49.02,86.25,
B2,7,1,55.57,86.25,
B2,7,2,62.12,86.25,
B2,7,3,68.68,86.25,
B2,7,4,75.23,86.25,
B3,0,0,84.78,15.08,
B3,0,1,91.33,15.08,
B3,0,2,97.88,15.08,
B3,0,3,104.43,15.08,
B3,0,4,110.98,15.08,
B3,1,0,84.78,25.25,
B3,1,1,91.33,25.25,
B3,1,2,97.88,25.25,
B3,1,3,104.43,25.25,
B3,1,4,110.98,25.25,
B3,2,0,84.78,35.42,
B3,2,1,91.33,35.42,
B3,2,2,97.88,35.42,
B3,2,3,104.43,35.42,
B3,2,4,110.98,35.42,
B3,3,0,84.78,45.58,
B3,3,1,91.33,45.58,
B3,3,2,97.88,45.58,
B3,3,3,104.43,45.58,
B3,3,4,110.98,45.58,
B3,4,0,84.78,55.75,
B3,4,1,91.33,55.75,
B3,4,2,97.88,55.75,
B3,4,3,104.43,55.75,
B3,4,4,110.98,55.75,
B3,5,0,84.78,65.92,
B3,5,1,91.33,65.92,
B3,5,2,97.88,65.92,
B3,5,3,104.43,65.92,
B3,5,4,110.98,65.92,
B3,6,0,84.78,76.08,
B3,6,1,91.33,76.08,
B3,6,2,97.88,76.08,
B3,6,3,104.43,76.08,
B3,6,4,110.98,76.08,
B3,7,0,84.78,86.25,
B3,7,1,91.33,86.25,
B3,7,2,97.88,86.25,
B3,7,3,104.43,86.25,
B3,7,4,110.98,86.25,
B4,0,0,120.53,15.08,
B4,0,1,127.08,15.08,
B4,0,2,133.62,15.08,
B4,0,3,140.18,15.08,
B4,0,4,146.72,15.08,
B4,1,0,120.53,25.25,
B4,1,1,127.08,25.25,
B4,1,2,133.62,25.25,
B4,1,3,140.18,25.25,
B4,1,4,146.72,25.25,
B4,2,0,120.53,35.42,
B4,2,1,127.08,35.42,
B4,2,2,133.62,35.42,
B4,2,3,140.18,35.42,
B4,2,4,146.72,35.42,
B4,3,0,120.53,45.58,
B4,3,1,127.08,45.58,
B4,3,2,133.62,45.58,
B4,3,3,140.18,45.58,
B4,3,4,146.72,45.58,
B4,4,0,120.53,55.75,
B4,4,1,127.08,55.75,
B4,4,2,133.62,55.75,
B4,4,3,140.18,55.75,
B4,4,4,146.72,55.75,
B4,5,0,120.53,65.92,
B4,5,1,127.08,65.92,
B4,5,2,133.62,65.92,
B4,5,3,140.18,65.92,
B4,5,4,146.72,65.92,
B4,6,0,120.53,76.08,
B4,6,1,127.08,76.08,
B4,6,2,133.62,76.08,
B4,6,3,140.18,76.08,
B4,6,4,146.72,76.08,
B4,7,0,120.53,86.25,
B4,7,1,127.08,86.25,
B4,7,2,133.62,86.25,
B4,7,3,140.18,86.25,
B4,7,4,146.72,86.25,
B5,0,0,13.28,99.42,
B5,0,1,19.82,99.42,
B5,0,2,26.38,99.42,
B5,0,3,32.92,99.42,
B5,0,4,39.48,99.42,
B5,1,0,13.28,109.58,
B5,1,1,19.82,109.58,
B5,1,2,26.38,109.58,
B5,1,3,32.92,109.58,
B5,1,4,39.48,109.58,
B5,2,0,13.28,119.75,
B5,2,1,19.82,119.75,
B5,2,2,26.38,119.75,
B5,2,3,32.92,119.75,
B5,2,4,39.48,119.75,
B5,3,0,13.28,129.92,
B5,3,1,19.82,129.92,
B5,3,2,26.38,129.92,
B5,3,3,32.92,129.92,
B5,3,4,39.48,129.92,
B5,4,0,13.28,140.08,
B5,4,1,19.82,140.08,
B5,4,2,26.38,140.08,
B5,4,3,32.92,140.08,
B5,4,4,39.48,140.08,
B5,5,0,13.28,150.25,
B5,5,1,19.82,150.25,
B5,5,2,26.38,150.25,
B5,5,3,32.92,150.25,
B5,5,4,39.48,150.25,
B5,6,0,13.28,160.42,
B5,6,1,19.82,160.42,
B5,6,2,26.38,160.42,
B5,6,3,32.92,160.42,
B5,6,4,39.48,160.42,
B5,7,0,13.28,170.58,
B5,7,1,19.82,170.58,
B5,7,2,26.38,170.58,
B5,7,3,32.92,170.58,
B5,7,4,39.48,170.58,
B6,0,0,49.02,99.42,
B6,0,1,55.57,99.42,
B6,0,2,62.12,99.42,
B6,0,3,68.68,99.42,
B6,0,4,75.23,99.42,
B6,1,0,49.02,109.58,
B6,1,1,55.57,109.58,
B6,1,2,62.12,109.58,
B6,1,3,68.68,109.58,
B6,1,4,75.23,109.58,
B6,2,0,49.02,119.75,
B6,2,1,55.57,119.75,
B6,2,2,62.12,119.75,
B6,2,3,68.68,119.75,
B6,2,4,75.23,119.75,
B6,3,0,49.02,129.92,
B6,3,1,55.57,129.92,
B6,3,2,62.12,129.92,
B6,3,3,68.68,129.92,
B6,3,4,75.23,129.92,
B6,4,0,49.02,140.08,
B6,4,1,55.57,140.08,
B6,4,2,62.12,140.08,
B6,4,3,68.68,140.08,
B6,4,4,75.23,140.08,
B6,5,0,49.02,150.25,
B6,5,1,55.57,150.25,
B6,5,2,62.12,150.25,
B6,5,3,68.68,150.25,
B6,5,4,75.23,150.25,
B6,6,0,49.02,160.42,
B6,6,1,55.57,160.42,
B6,6,2,62.12,160.42,
B6,6,3,68.68,160.42,
B6,6,4,75.23,160.42,
B6,7,0,49.02,170.58,
B6,7,1,55.57,170.58,
B6,7,2,62.12,170.58,
B6,7,3,68.68,170.58,
B6,7,4,75.23,170.58,
B7,0,0,84.78,99.42,
B7,0,1,91.33,99.42,
B7,0,2,97.88,99.42,
B7,0,3,104.43,99.42,
B7,0,4,110.98,99.42,
B7,1,0,84.78,109.58,
B7,1,1,91.33,109.58,
B7,1,2,97.88,109.58,
B7,1,3,104.43,109.58,
B7,1,4,110.98,109.58,
B7,2,0,84.78,119.75,
B7,2,1,91.33,119.75,
B7,2,2,97.88,119.75,
B7,2,3,104.43,119.75,
B7,2,4,110.98,119.75,
B7,3,0,84.78,129.92,
B7,3,1,91.33,129.92,
B7,3,2,97.88,129.92,
B7,3,3,104.43,129.92,
B7,3,4,110.98,129.92,
B7,4,0,84.78,140.08,
B7,4,1,91.33,140.08,
B7,4,2,97.88,140.08,
B7,4,3,104.43,140.08,
B7,4,4,110.98,140.08,
B7,5,0,84.78,150.25,
B7,5,1,91.33,150.25,
B7,5,2,97.88,150.25,
B7,5,3,104.43,150.25,
B7,5,4,110.98,150.25,
B7,6,0,84.78,160.42,
B7,6,1,91.33,160.42,
B7,6,2,97.88,160.42,
B7,6,3,104.43,160.42,
B7,6,4,110.98,160.42,
B7,7,0,84.78,170.58,
B7,7,1,91.33,170.58,
B7,7,2,97.88,170.58,
B7,7,3,104.43,170.58,
B7,7,4,110.98,170.58,
B8,0,0,120.53,99.42,
B8,0,1,127.08,99.42,
B8,0,2,133.62,99.42,
B8,0,3,140.18,99.42,
B8,0,4,146.72,99.42,
B8,1,0,120.53,109.58,
B8,1,1,127.08,109.58,
B8,1,2,133.62,109.58,
B8,1,3,140.18,109.58,
B8,1,4,146.72,109.58,
B8,2,0,120.53,119.75,
B8,2,1,127.08,119.75,
B8,2,2,133.62,119.75,
B8,2,3,140.18,119.75,
B8,2,4,146.72,119.75,
B8,3,0,120.53,129.92,
B8,3,1,127.08,129.92,
B8,3,2,133.62,129.92,
B8,3,3,140.18,129.92,
B8,3,4,146.72,129.92,
B8,4,0,120.53,140.08,
B8,4,1,127.08,140.08,
B8,4,2,133.62,140.08,
B8,4,3,140.18,140.08,
B8,4,4,146.72,140.08,
B8,5,0,120.53,150.25,
B8,5,1,127.08,150.25,
B8,5,2,133.62,150.25,
B8,5,3,140.18,150.25,
B8,5,4,146.72,150.25,
B8,6,0,120.53,160.42,
B8,6,1,127.08,160.42,
B8,6,2,133.62,160.42,
B8,6,3,140.18,160.42,
B8,6,4,146.72,160.42,
B8,7,0,120.53,170.58,
B8,7,1,127.08,170.58,
B8,7,2,133.62,170.58,
B8,7,3,140.18,170.58,
B8,7,4,146.72,170.58,
B9,0,0,13.28,183.75,
B9,0,1,19.82,183.75,
B9,0,2,26.38,183.75,
B9,0,3,32.92,183.75,
B9,0,4,39.48,183.75,
B9,1,0,13.28,193.92,
B9,1,1,19.82,193.92,
B9,1,2,26.38,193.92,
B9,1,3,32.92,193.92,
B9,1,4,39.48,193.92,
B9,2,0,13.28,204.08,
B9,2,1,19.82,204.08,
B9,2,2,26.38,204.08,
B9,2,3,32.92,204.08,
B9,2,4,39.48,204.08,
B9,3,0,13.28,214.25,
