Block,Row,Col,X,Y,Label,X_start,X_stop,Y_start,Y_stop
T0,0,0,3.5,14.0,T0-1,0.08124999999999982,6.91875,10.0,18.0
T0,1,0,3.5,24.0,T0-2,0.08124999999999982,6.91875,20.0,28.0
T0,2,0,3.5,34.0,T0-3,0.08124999999999982,6.91875,30.0,38.0
T0,3,0,3.5,44.0,T0-4,0.08124999999999982,6.91875,40.0,48.0
T0,4,0,3.5,54.0,T0-5,0.08124999999999982,6.91875,50.0,58.0
T0,5,0,3.5,64.0,T0-6,0.08124999999999982,6.91875,60.0,68.0
T0,6,0,3.5,74.0,T0-7,0.08124999999999982,6.91875,70.0,78.0
T0,7,0,3.5,84.0,T0-8,0.08124999999999982,6.91875,80.0,88.0
T0,8,0,3.5,94.0,T0-9,0.08124999999999982,6.91875,90.0,98.0
T0,9,0,3.5,104.0,T0-10,0.08124999999999982,6.91875,100.0,108.0
T0,10,0,3.5,114.0,T0-11,0.08124999999999982,6.91875,110.0,118.0
T0,11,0,3.5,124.0,T0-12,0.08124999999999982,6.91875,120.0,128.0
T0,12,0,3.5,134.0,T0-13,0.08124999999999982,6.91875,130.0,138.0
T0,13,0,3.5,144.0,T0-14,0.08124999999999982,6.91875,140.0,148.0
T0,14,0,3.5,154.0,T0-15,0.08124999999999982,6.91875,150.0,158.0
T0,15,0,3.5,164.0,T0-16,0.08124999999999982,6.91875,160.0,168.0
T0,16,0,3.5,174.0,T0-17,0.08124999999999982,6.91875,170.0,178.0
T0,17,0,3.5,184.0,T0-18,0.08124999999999982,6.91875,180.0,188.0
T0,18,0,3.5,194.0,T0-19,0.08124999999999982,6.91875,190.0,198.0
T0,19,0,3.5,204.0,T0-20,0.08124999999999982,6.91875,200.0,208.0
T0,20,0,3.5,214.0,T0-21,0.08124999999999982,6.91875,210.0,218.0
T0,21,0,3.5,224.0,T0-22,0.08124999999999982,6.91875,220.0,228.0
T0,22,0,3.5,234.0,T0-23,0.08124999999999982,6.91875,230.0,238.0
T0,23,0,3.5,244.0,T0-24,0.08124999999999982,6.91875,240.0,248.0
B1,0,0,12.92,14.0,AG34XF6,9.501249999999999,16.33875,10.0,18.0
B1,0,1,19.76,14.0,LG3216,16.341250000000002,23.17875,10.0,18.0
B1,0,2,26.59,14.0,AG35XF5,23.17125,30.00875,10.0,18.0
B1,0,3,33.43,14.0,LG3216,30.01125,36.84875,10.0,18.0
B1,0,4,40.27,14.0,AG36XF4,36.85125,43.688750000000006,10.0,18.0
B1,1,0,12.92,24.0,LG3216,9.501249999999999,16.33875,20.0,28.0
B1,1,1,19.76,24.0,AG29XF5,16.341250000000002,23.17875,20.0,28.0
B1,1,2,26.59,24.0,LG3216,23.17125,30.00875,20.0,28.0
B1,1,3,33.43,24.0,AG29XF4,30.01125,36.84875,20.0,28.0
