SampleID,X_ft,Y_ft,Lat,Lon,NearestPlotID,NearestPlotLat,NearestPlotLon,Distance_m,Decimal_Latitude,Decimal_Longitude,Matched_PlotID,Matched_PlotIndex,Matched_X,Matched_Y,Matched_Lat,Matched_Lon
S001,156.4948680403453,100.44681887058655,48.62171923720275,82.09846445205191,Row21_Range10,48.621762904347825,82.09850275,5.6593735135665515,48.62171923720275,82.09846445205191,Row21_Range10,P033,1302750.1291827732,14552888.293607768,48.62176290434783,82.09850275
S002,11.606900549862935,242.6404040625651,48.622912083389636,82.09688136989713,Row02_Range22,48.622944643478256,82.0968416,4.694063497658199,48.622912083389636,82.09688136989713,Row02_Range22,P414,1302853.3076145998,14552739.603245543,48.62294464347829,82.09684159999999
S003,127.0626326247074,210.6211310934875,48.622643477266394,82.09814286808971,Row17_Range19,48.62264920869565,82.0981518,0.9233137356562088,48.622643477266394,82.09814286808971,Row17_Range19,P071,1302761.7250173488,14552786.28494481,48.622649208695655,82.09815180000001
S004,47.56908091927009,242.0516241873916,48.62290714418068,82.0972743016704,Row07_Range22,48.622944643478256,82.09727815,4.211116879495386,48.62290714418068,82.0972743016704,Row07_Range22,P294,1302821.2152890228,14552744.242072977,48.622944643478284,82.09727814999998
S005,97.19367291099323,212.91567984217272,48.622662725980895,82.09781651236864,Row13_Range19,48.62264920869565,82.0978047,1.7502697792565858,48.622662725980895,82.09781651236864,Row13_Range19,P166,1302787.2417238227,14552782.596933974,48.62264920869564,82.09780470000001
S006,133.9349586620939,110.31100372635935,48.62180198675348,82.09821795684208,Row18_Range10,48.621762904347825,82.0982392,4.6544029373905715,48.62180198675348,82.09821795684208,Row18_Range10,P099,1302769.50414896,14552885.493423723,48.62176290434784,82.09823919999998
S007,83.96476848592374,239.13000902221737,48.62288263507568,82.09767197005166,Row11_Range21,48.62284616521739,82.0976295,5.162097541852003,48.62288263507568,82.09767197005166,Row11_Range21,P204,1302796.9646669272,14552758.895395674,48.622846165217375,82.09762950000001
S008,63.21873040378261,82.5036206384944,48.621568713706466,82.09744529365307,Row09_Range08,48.621565947826085,82.0974546,0.7575528955216303,48.621568713706466,82.09744529365307,Row09_Range08,P326,1302830.340972451,14552898.996708313,48.62156594782607,82.0974546
S009,128.75698553935075,52.35303265640527,48.62131578377395,82.09816138101324,Row17_Range05,48.62127051304348,82.0981518,5.121791836831725,48.62131578377395,82.09816138101324,Row17_Range05,P152,1302783.8206247925,14552939.164728943,48.621270513043505,82.09815180000001
S010,40.90586602317052,179.4465668983469,48.6223819573112,82.09720149771863,Row06_Range16,48.62235377391304,82.0971916,3.242111839089605,48.6223819573112,82.09720149771863,Row06_Range16,P352,1302837.0483780527,14552808.842255024,48.62235377391305,82.0971916
S011,9.077778614802838,196.53245462123547,48.62252528892488,82.09685373607859,Row02_Range18,48.62255073043478,82.0968416,2.989600340624402,48.62252528892488,82.09685373607859,Row02_Range18,P437,1302859.6214929232,14552783.283140663,48.622550730434796,82.09684159999999
S012,95.82293147998027,180.37443894571925,48.62238974112671,82.09780153530508,Row13_Range16,48.62235377391304,82.0978047,4.036597917193823,48.62238974112671,82.09780153530508,Row13_Range16,P183,1302791.9766887715,14552815.356874155,48.622353773913034,82.09780470000001
S013,79.72166024296479,176.03669705439583,48.62235335229195,82.09762560879022,Row11_Range16,48.62235377391304,82.0976295,0.29286740173598164,48.62235335229195,82.09762560879022,Row11_Range16,P232,1302804.8564160476,14552813.495288922,48.622353773913076,82.09762950000001
S014,151.4302705986945,206.94983532034158,48.622612679174075,82.09840911499413,Row20_Range19,48.62264920869565,82.0984135,4.1056843582377915,48.622612679174075,82.09840911499413,Row20_Range19,P017,1302742.486402941,14552789.065483456,48.622649208695655,82.0984135
S015,65.63737545358262,265.36796675435346,48.62310274238777,82.09747172037355,Row09_Range24,48.6231416,82.0974546,4.535507880117259,48.62310274238777,82.09747172037355,Row09_Range24,P234,1302805.087055008,14552724.277044948,48.6231416,82.0974546
S016,156.7834532862849,48.02905094617642,48.62127951037183,82.09846760520647,Row21_Range05,48.62127051304348,82.09850275,2.798419026665993,48.62127951037183,82.09846760520647,Row21_Range05,P056,1302758.0201600245,14552942.89355092,48.621270513043484,82.09850275
S017,77.08591672828605,131.1653907392703,48.62197693188898,82.09759680999765,Row11_Range12,48.621959860869566,82.0976295,3.090986532141789,48.62197693188898,82.09759680999765,Row11_Range12,P255,1302811.1697736147,14552857.175212363,48.621959860869566,82.09762950000001
S018,22.943308545705374,202.71813976058533,48.62257717995021,82.097005234325,Row04_Range18,48.62255073043478,82.0970162,3.073292046083513,48.62257717995021,82.097005234325,Row04_Range18,P389,1302846.7859306983,14552785.1384855,48.62255073043478,82.09701620000001
S019,30.231278158587536,44.45712129133012,48.62124954585084,82.09708486450297,Row05_Range05,48.62127051304348,82.0971046,2.7690346925851244,48.62124954585084,82.09708486450297,Row05_Range05,P440,1302860.8066274547,14552928.03756658,48.62127051304349,82.0971046
S020,114.10855721144134,13.331432922545726,48.62098843590952,82.09800132862323,Row15_Range02,48.62097507826087,82.09797655,2.372223077485416,48.62098843590952,82.09800132862323,Row15_Range02,P217,1302801.439105934,14552970.06262626,48.62097507826089,82.09797654999998
S021,62.240404972112984,26.75664307274564,48.62110105850578,82.09743460422483,Row09_Range03,48.62107355652174,82.0974546,3.4206082729539995,48.62110105850578,82.09743460422483,Row09_Range03,P355,1302838.232699941,14552953.59662888,48.62107355652174,82.0974546
S022,60.584031263050576,187.54547946352307,48.62244989818883,82.09741650627159,Row09_Range17,48.622452252173915,82.0974546,2.841799419812391,48.62244989818883,82.09741650627159,Row09_Range17,P275,1302816.1357169151,14552800.716882205,48.622452252173936,82.0974546
S023,144.28166340204004,261.4060657153529,48.62306950644017,82.09833100752473,Row19_Range23,48.62304312173913,82.09832615,2.9780625636335967,48.62306950644017,82.09833100752473,Row19_Range23,P018,1302742.5948400847,14552744.457480917,48.62304312173915,82.09832615
